Yhtio;Potentiaali;Riskitaso;Tavoitehinta;Kurssi;LV:n kasvu%;LV:n kasvu%2;EBIT%;EBIT%2;ROE%;ROE%2;ROI%;ROI%2;Omavaraisuusaste;Nettovelkaisuus;EV/EBITDA;EV/EBITDA2;P/E;P/E2;Osinkotuotto-%;Osinkotuotto-%2;P/B;P/B2;EV/Liikevaihto;EV/Liikevaihto2;EV/EBIT;EV/EBIT2;MCAP;EV
Titanium;-8;3;12;12,95;10,7;9,94;50,74;52,36;39,57;42,92;46,93;52,86;92,59;-55,43;8,73;7,72;12,19;11,09;7,03;7,34;5,67;5,48;5,27;4,73;10,39;9,04;135,19;120,57
Terveystalo;8;2;10,9;10,04;4,18;5;8,26;9,5;9,42;11,23;7,41;9,01;46,79;74,24;10,13;9,06;22,53;17,82;2,39;2,79;2,07;1,94;1,73;1,6;20,91;16,83;1293,2;1746,93
Gofore;-17;2;14,5;17,15;20;7;11,2;11,5;22,49;21,7;25,01;25,59;67,55;-50,25;16,67;14,82;22,18;20,63;1,57;1,75;6,09;5,36;2,35;2,12;20,95;18,42;243,77;220,43
Efecte;-6;3;11;10,8;10,71;17,98;0,42;7,19;4,16;58,49;4,16;58,49;41,26;-144,33;121;34,51;758,91;49,79;0;0;40,08;22,49;3,96;3,38;916,11;47,11;72,07;64,13
Admicom;-10;2;120;135;22,16;23,48;48,07;49,95;40,06;42,13;50,7;53,16;81,97;-73,93;45,84;35,95;59,33;47,12;1,04;1,37;23,91;19,6;24,22;19,39;50,39;38,79;660,62;644,97
Harvia;-12;1;22;24,5;12,91;8,31;20,19;20,96;24,44;24,97;17,72;19,42;46,01;56,39;17,66;16,45;25,51;23,44;2,45;2,86;6,18;5,56;4,25;3,88;21,04;18,51;467,25;499,7
Enersense;9;3;9;8,3;62,4;3,32;2,44;3,48;24,84;28,53;13,59;19,46;16,45;47,83;6,52;5,04;10,28;8,29;0,6;1,2;4,52;3,47;0,39;0,35;15,96;10,01;78,79;87,79
Eezy;-8;3;5,5;5,9;10,47;11,67;4,86;6,42;6,91;10,11;6,59;9,41;51,12;37,59;10,47;7,67;20,27;12,93;1,69;2,54;1,36;1,26;0,85;0,72;17,59;11,22;148,6;187,49
Tallink;10;4;0,8;0,74;57,01;25,2;4,75;7,4;1,85;5,31;2,44;4,63;49,58;79,67;8,51;7,07;36,95;12,43;0;6,78;0,68;0,64;1,52;1,29;32,08;17,43;489,01;1074,79
Fellow Finance;12;4;3,2;2,9;6,65;24,28;5,75;11,01;-0,11;6,53;2,48;6,69;51,48;45,13;25,23;12,03;-1333,33;22,44;0;0;1,51;1,42;2,28;1,68;39,7;15,22;20,51;26,99
Viafin Service;2;2;16,4;15,9;11,19;5,8;5,22;5,39;11,07;11,32;14,77;15,24;60,74;-69,53;9,28;8,26;18,81;17,61;1,76;1,89;2,72;2,54;0,69;0,62;13,13;11,53;58,08;42,41
Rush Factory;-17;4;2;2,26;3451,89;22,39;11,98;15,63;128,19;74,04;86,99;83,03;27,6;-31,06;6,44;3,57;9,57;6,36;0;0;7,48;3,43;0,95;0,64;7,95;4,13;5,64;5,09
Oma Saastopankki;4;2;11;10,6;0,14;12,1;35;37,42;8,44;9,53;0,87;0,92;7,91;1138,32;102,52;97,67;10,53;8,78;2,83;3,3;0,87;0,81;41,67;41,4;119,04;110,65;313,65;4432,86
LeadDesk;-24;3;25,5;35;87,43;20,47;5,17;6,83;9,12;11,07;11,17;13,1;71,71;-17,13;46,73;38,98;85,42;64,23;0;0,29;12,28;10,4;6,83;5,78;131,67;84,78;176,4;180,39
Aallon Group;8;2;11;9,96;12,32;6,8;10,42;11,74;17,22;19,14;23,7;25,9;69,19;-60,9;11,05;8,91;18,71;15,86;2,71;3,01;3,75;3,41;1,45;1,31;13,89;11,19;36,84;30,27
Relais Group;-10;2;13;14,7;23,06;3,14;9,18;9,92;11,26;12,38;11,13;12,29;48,7;58,57;12,41;11,72;14,64;14,43;2,18;2,24;3,39;3,23;1,91;1,8;20,82;18,12;250,42;298,83
Fodelia;-2;2;8;8,42;58,35;22,17;8,36;9,06;28,07;30,39;18,46;20,43;38,3;68,06;17,69;13,49;27,23;20,22;1,43;1,9;6,9;5,55;1,87;1,51;22,36;16,65;60,84;68,65
Bilot;-10;3;6,9;7,3;36,08;8;6,25;7,6;6,69;8,32;8,36;10,47;79,27;-61,39;10,54;8,22;19,87;16,5;1,78;2,05;1,94;1,85;1,01;0,88;16,18;11,59;38,09;24,76
Musti Group;-12;1;21,7;24,54;13,88;8,76;10,04;11,16;14,28;16,63;12,05;14,47;50,83;50,44;15,51;13,73;36,42;29,28;2;2,44;5,04;4,71;2,8;2,54;27,83;22,77;829,11;905,37
